sentence,relation,head,head_offset,tail,tail_offset
《穿越之鸣人传说》是一部连载于17k小说网的网络小说，作者是玖血月,连载网站,穿越之鸣人传说,1,17k小说网,15
王润泽1，女，1983年10月生，山东人，2006年6月毕业于四川外语学院法语专业，现任云南边防总队昆明边防检查站正连职检查员，2007年12月至2008年8月和2009年6月至2010年5月，参加中国第六支、第八支赴海地维和警察防暴队，担任值勤官,毕业院校,王润泽,0,四川外语学院,31
李亚鹏一向很溺爱李嫣，和王菲离婚后，他自个独立抚养李嫣,父亲,李亚鹏,0,李嫣,8
《呼叫助产士》第一季共6集，由海蒂·托马斯（heidi thomas）编剧，neal street打造，讲述了上世纪50年代伦敦东区助产士们的工作、生活与情感,编剧,呼叫助产士,1,海蒂·托马斯,15
《25岁前，我敢爱》是2008年知出版社出版的图书，作者是陆以心,出版社,25岁前，我敢爱,1,知出版,16
美丽心情演唱：叶一茜词:姚谦曲:中岛美雪lrc制作：酷我歌词组,作词,美丽心情,0,姚谦,12
周杰伦的《告白气球》、《龙卷风》《明明就》等等歌曲都是我常伴我的良友,作曲,周杰伦,0,龙卷风,12
1低调奋进马唯中是1980年生的射手座女孩，传承了母亲周美青的冷酷，又因常见的白衬衫、牛仔裤的平民装扮，比母亲亲和几分,母亲,马唯中,5,周美青,27
山西大昌汽车集团成立于1992年5月18日，集团下属31家独资子公司，3家股份制公司，其中包括22家汽车4s店，现有员工2800余人，拥有资产25亿元,成立日期,山西大昌汽车集团,0,1992年5月18日,11
钱谦益为了勉励郑成功乃替他起“大木”之表字,字,郑成功,7,大木,15
《如果我爱你》是由海润影视与明道工作室联合出品，徐辅军执导，明道、李沁、胡兵、白歆惠、狄杰等人气明星联袂主演的浪漫偶像剧,出品公司,如果我爱你,1,海润影视,9
何鸿燊的第一任太太黎婉华是名门之后，父亲曾是澳门有名的葡籍律师，其家族在澳门根深蒂固，而且黎婉华还有“澳门第一美女”的称号，其在何鸿燊早年创业时，给予很多帮助，不过却因一场车祸后，又染上怪病，行动不便，渐渐退出了他的生活,丈夫,何鸿燊,0,黎婉华,9
现时勺嘴鹬属于鸻形目鹬科内的一种涉禽，但将涉禽归到鸻形目本身就是鸟类dna分类系统的一大缺陷,目,勺嘴鹬,2,鸻形目,7
《走下圣坛的女人－杰奎琳·肯尼迪·欧纳西斯传记》是1992年北方文艺出版社出版的图书，作者是(美)凯利,出版社,走下圣坛的女人－杰奎琳·肯尼迪·欧纳西斯传记,1,北方文艺出版社,30
《头文字d4》是2005年接力出版社出版的图书，作者是重野秀一,出版社,头文字d4,1,接力出版社,13
【陈赫告白母亲，张子萱晒女儿萌照，低调示爱的二人获得大家的认可】文/热门电影君（原创文章，谢绝转载，侵权必究）因为《爱情公寓》走红的陈赫，凭借着超高的综艺天分成为了时下综艺的宠儿，人气暴涨的陈赫也收获了恰当的爱情，并且有了自己的女儿和家庭，大年初五，陈赫与妻子张子萱分别晒照庆祝好日子,主演,陈赫,1,爱情公寓,58
严九岳(1574～1621年)，字以赞，号海日，明代福建永安市贡川人,号,严九岳,0,海日,21
《是我不小心》是陈明演唱的一首歌曲，收录在专辑《相信你总会被我感动》当中,所属专辑,是我不小心,1,相信你总会被我感动,24
2015年10月13日，北京龙泉寺举行装藏法会，贤佳法师主持,所在城市,北京,12,龙泉寺,14
刘才光  男，1930年4月生，福建福州人,出生日期,刘才光,0,1930年4月,7
尼尔森总部位于美国纽约，并在伊利诺伊州的商堡（schaumburg）、比利时的瓦韦尔（wavre）、中国的北京、上海和香港、澳大利亚的悉尼、阿根廷的布宜诺斯艾利斯以及塞浦路斯的尼科西亚建立了区域业务中心,总部地点,尼尔森,0,美国纽约,7
孙晓健，男，1964年9月出生，研究生学历，1986年2月加入中国共产党，现任泰兴市粮食系统党委副书记、副局长,出生日期,孙晓健,0,1964年9月,6
《成交百分百》是2003年海潮出版社出版的图书，作者是景斓,作者,成交百分百,1,景斓,27
0后的第三波主持人：纳豆、夏宇童-(代班2周) 节目改名电玩快打 ver 2,主持人,纳豆,10,电玩快打,28
《保密局的枪声》是由常彦执导的剧情电影，陈少泽、正华主演,主演,保密局的枪声,1,陈少泽,20
《java程序设计教程》是2013年清华大学出版社出版的图书，作者是牛晓太、王杰、管涛、李向、齐艳珂、王亚楠,作者,java程序设计教程,1,李向,44
”观察人士认为，国家宣传在朝鲜三位领导人金日成(kim il-sung)、金正日(kim jong-il)和金正恩(kim jong-un)周围创造了一种近乎神圣的光环，以确保政权的合法性被安全地转移到下一代,国籍,朝鲜,13,金正恩,54
历史评价李氏朝鲜的创立并非太祖大王李成桂一人之功﹐其五子李芳远功不可没,父亲,李成桂,17,李芳远,28
褐边环翅卷蛾是鳞翅目、卷蛾科的动物,目,褐边环翅卷蛾,0,鳞翅目,7
黄学博，男，汉族，1987年11月生，籍贯广东阳春，中共党员，大学学历,出生日期,黄学博,0,1987年11月,9
《祖圣》是一部连载于17k小说网的东方玄幻类型的小说，作者是证道,连载网站,祖圣,1,17k小说网,10
"信息时报讯(记者 蔡慕嘉) 由张翰、张钧甯主演,根据安宁同名小说改编的电视剧《温暖的弦》即将开播",作者,安宁,26,温暖的弦,39
彼得·盖布瑞尔（peter gabriel，1950年2月13日－）出生地是英国伦敦，是英国音乐家,国籍,彼得·盖布瑞尔,0,英国,38
基本资料球员:阮辉煌  生日:1981年1月4日  身高:173cm  球衣号码:3  国籍:越南  效力球队:义安蓝江  场上位置:后卫球队阵容前锋  d,出生日期,阮辉煌,7,1981年1月4日,15
烟花易冷周杰伦 - 跨时代后来的《青花瓷》《烟花易冷》等等，至少，在我听过的华语流行歌曲中，优质的填词很多，可工整如此的，并不多见,歌手,周杰伦,4,青花瓷,17
深圳市华之阳科技有限公司成立于2006年，是一家专业从事各类电子类产品以及电脑周边线材的开发、制造与销售的企业,成立日期,深圳市华之阳科技有限公司,0,2006年,15
漫威和dc电影发展梳理漫威创建于1939年，1961年正式定名为marvel，2010年9月marvel宣布其正式中文名称为“漫威”,成立日期,漫威,0,1939年,16
专辑简介张敬轩重新演绎王菀之〈下次爱你〉  由男方承受一遍压抑而无可奈何的爱  张敬轩与王菀之的首度联乘个唱《the magical teeter totter演唱会2017》举行在即，当下除了忙于排练，个唱前还有项重要任务，就是筹备一张主题ep,歌手,王菀之,11,下次爱你,15
《世界主义的观点》是由华东师范大学出版社出版的一部教育作品，作者是德乌尔里希·贝克,出版社,世界主义的观点,1,华东师范大学出版社,11
《儿童学画新概念 5-6岁》是2004-4上海教育出版社出版的图书，作者是史广荣,出版社,儿童学画新概念 5-6岁,1,上海教育出版社,21
《缘起鬼吹灯》是八加一等于九创作的网络小说，发表于起点网,作者,缘起鬼吹灯,1,八加一等于九,8
《初中物理竞赛热点专题/竞赛热点专题丛书》是2001年湖南师范大学出版社出版的图书，作者是武建谋，宋善炎，严定新,作者,初中物理竞赛热点专题/竞赛热点专题丛书,1,宋善炎,49
《爱情不过是一种普通的玩意》是起点中文网连载的言情小说，作者是孟侠贤,作者,爱情不过是一种普通的玩意,1,孟侠贤,31
《中国与英美国家习俗文化比较》，由浙江大学出版社出版,出版社,中国与英美国家习俗文化比较,1,浙江大学出版社,17
《不分手恋爱》是陌独成伤创作的网络小说，发表于17k小说网,作者,不分手恋爱,1,陌独成伤,8
赵君，男，汉族，1966年8月生，河北定州人，中共党员，博士，教授，博士生导师,出生地,赵君,0,河北定州,17
李在均，男，四川苍溪人，1964年10月生,出生日期,李在均,0,1964年10月,12
《隐匿的现场》是2011年2月21日生活·读书·新知三联书店出版的图书，作者是王鸿谅,出版社,隐匿的现场,1,生活·读书·新知三联书店,18
"基本资料球员:卡路尔  生日:1988年3月23日  身高:184cm  球衣号码:999  国籍:安道尔  效力球队:圣达哥林玛  场上位置:后卫球队阵容前锋  鲁伊兹,m",出生日期,卡路尔,7,1988年3月23日,15
韦爱松，女，汉族，中共党员，1993年12月参加工作，毕业于广西柳州卫校，大专学历,民族,韦爱松,0,汉族,6
《不予时光度流年》是2013年光明日报出版社出版的图书，作者是江崇一,出版社,不予时光度流年,1,光明日报出版社,15
个人介绍革命家庭的才女家庭背景赵世兰，1896年生于四川酉阳县（古称“酉阳州”，现属重庆直辖市）的龙潭镇,出生地,赵世兰,15,四川酉阳县,26
早年经历罗杰·米拉生于喀麦隆首都雅温得郊外的一个村庄里,首都,喀麦隆,11,雅温得,16
上海道宽贸易有限公司于2010年1月29日在闵行区市场监督管理局登记成立,成立日期,上海道宽贸易有限公司,0,2010年1月29日,11
《重生之超级经纪人》是蒋瑶创作的网络小说，发表于起点网,连载网站,重生之超级经纪人,1,起点网,24
张国荣主演电影大片《霸王别姬》荣获法国戛纳国际电影节最高奖项金棕榈大奖，成为首部获此殊荣的中国影片,主演,张国荣,0,霸王别姬,10
《乐火男孩》由香港导演林华全执导，俞灏明、唐笑、王栎鑫、张杰联合主演的歌舞片,主演,乐火男孩,1,王栎鑫,24
歌曲《西游记》，是张卫健主演的1996年香港tvb西游记i主题曲，由张卫健演唱,歌手,西游记,3,张卫健,9
张廷智， 毕业于大连军医学院，从事中医治疗中晚期肿瘤临床工作30余年,毕业院校,张廷智,0,大连军医学院,8
刘英俊，男，汉族，1978年出生，中共党员，同济大学2003届土木工程专业本科毕业生，2003年大学生志愿服务西部计划志愿者,出生日期,刘英俊,0,1978年,9
《蛋疼的龙祥》是无名编剧兼导演兼监制—小c的一部搞笑喜剧片，此剧单集平均收视率0,导演,蛋疼的龙祥,1,小c,19
《绝妙口才（卡耐基中国读本）》是2004年中国华侨出版社出版的图书，作者是黎阳，黎阳，戴尔・卡耐基,作者,绝妙口才（卡耐基中国读本）,1,黎阳,37
河南协力消防实业有限公司于1995年6月30日在郑州市工商行政管理局郑东新区分局登记成立,成立日期,河南协力消防实业有限公司,0,1995年6月30日,13
《上位》是2012年由中国书籍出版社出版的一部作品，作者是王清平,作者,上位,1,王清平,29
1974他到印度朝圣，漫游后反而有了新的认识，认为爱迪生对世界的贡献比佛教大师要大得多，于是他回到硅谷参加了沃兹创立的自制电脑俱乐部，两年后，也就是1976年，20岁的史蒂夫乔布斯和沃兹在乔布斯父母的车库里办起了苹果公司，从此揭开了苹果公司传奇般的创业史,创始人,乔布斯,87,苹果公司,106
同年参演尚敬导演的情景喜剧《武林外传》，喻恩泰饰演一位满口之乎者也的穷酸秀才吕轻侯，一夜之间成为了家喻户晓的明星,主演,武林外传,14,喻恩泰,20
个人简介区家伟，男，2010年广州亚运会中国澳门代表团成员,国籍,区家伟,4,中国,20
《魔武杀神》是连载于纵横中文网的网络小说，作者是风家少主,连载网站,魔武杀神,1,纵横中文网,10
惠若琪，1991年3月4日出生与辽宁大连，司职主攻手，毕业于南京师范大学体育学院，现役中国女子排球队运动员,出生地,惠若琪,0,辽宁大连,16
宗申产业集团(zongshen industrial group)始建于1992年，创始人左宗申,成立日期,宗申,0,1992年,36
《方宇传奇》是梦里指江山1269创作的网络小说，发表于起点网,连载网站,方宇传奇,1,起点网,27
"薮鸟，澳大利亚的两种稀有鸟类，组成薮鸟科(atrichornithidae,雀形目〔passeriformes〕),与琴鸟近缘",目,薮鸟,0,雀形目,38
穆金龙，男，汉族，1969年11月出生，河北南皮人，大学学历，1991年7月参加工作，1998年5月入党,出生日期,穆金龙,0,1969年11月,9
《高等教育行政执法问题研究》是2007年武汉大学出版社出版的图书，作者是周叶中、周佑勇,作者,高等教育行政执法问题研究,1,周叶中,36
《其实我们很熟》是由陈奂仁作词、作曲，余文乐演唱的一首歌曲，收录于专辑《不是明星n.a.s.》中，发行于2011年04月13日,歌手,其实我们很熟,1,余文乐,19
胡健1，男，1975年6月出生于湖南省长沙市，中国著名企业家,国籍,胡健,0,中国,23
我们熟知的一些品牌，科颜氏创立于1851年，迪奥创立于1905年，香奈儿创立于1910年，兰蔻创立于1935年，圣罗兰创立于1936年，雅诗兰黛创立于1946年,成立日期,香奈儿,33,1910年,39
黄斑细脚胡蜂，，为膜翅目，胡蜂科异腹胡蜂属的一种昆虫,目,黄斑细脚胡蜂,0,膜翅目,9
陈秀连（1845～1927），宇玉池，祖籍番禺长湴村（今属广州市），商人,出生日期,陈秀连,0,1845,4
王玉明主任医师毕业于首都医科大学中医药学院，现任北京中医医院风湿科主任、研究生导师、中华医学会风湿病专业委员会委员、北京中医药学会风湿病专业委员副主任委员,毕业院校,王玉明,0,首都医科大学,10
2014年8月4日，姚晨与吴秀波共同主演的爱情剧《离婚律师》在江苏、浙江、天津、深圳四大卫视首播[18]，该剧是姚晨重回电视大荧屏的首部作品,主演,吴秀波,13,离婚律师,25
刘洪渡，汉族，1929年11月出生,民族,刘洪渡,0,汉族,4
《完美和喜悦在我心中》是2003年海天出版社出版的图书，作者是阿兰科恩,出版社,完美和喜悦在我心中,1,海天出版社,17
高洋（529年－559年），字子进，南北朝时期北齐的建立者,朝代,高洋,0,北齐,23
昆曲《怜相伴》的筹备阶段，刚刚获奖的刘欣然引起导演关锦鹏的注意，同时，刘欣然又接到了林兆华导演的话剧《老舍五则》的演出邀请,导演,林兆华,42,老舍五则,51
华晨宇，一个通过2013年参加快乐男声拿下冠军，随后出道，这几年，花花创作很很多经典的音乐作品，例如在之前节目天籁之战上改编周杰伦的《爸我回来了》得到了一致的好评，那时候是花花第一次改编周杰伦的歌曲，最近花花以补位歌手参加了《歌手2》，第一次上歌手的作品是自己演唱的歌曲《齐天》，那时候夺得了冠军，在最近一期的歌手，花花再次改编周杰伦的经典作品《双节棍》，当然有人喜欢也有人不喜欢了,歌手,周杰伦,62,爸我回来了,67
小麦蝼蛄也称麦蝼蛄属于昆虫纲，直翅目，蝼蛄科，分布在全国各地，为害危害谷物、蔬菜及树苗,目,小麦蝼蛄,0,直翅目,15
《告别了》，歌曲名称，是孙耀威在专辑爱的故事里面的歌曲,所属专辑,告别了,1,爱的故事,18
蓝洁瑛，1963年出生于香港，八十年代tvb当家花旦，有“靓绝五台山”的美誉，1984年从香港无线训练班毕业后即主演《家有娇妻》《宝芝林》等剧，备受力捧，先后主演了《六指琴魔》《真命天子》《万家传说》《盖世豪侠》等，1992年主演商战题材电视剧《大时代》，1995年在电影《月光宝盒》中分饰春三十娘和蜘蛛精两角,主演,蓝洁瑛,0,宝芝林,65
《我们应该怎样让百姓不骂娘》是2011年中国方正出版社出版的图书，作者是陈国华,出版社,我们应该怎样让百姓不骂娘,1,中国方正,20
《空城计》是韩寒演唱的一首国语歌曲,歌手,空城计,1,韩寒,6
《叶永烈科幻故事》是2006年新疆青少年出版的图书，作者是叶永烈,作者,叶永烈科幻故事,1,叶永烈,1
歌曲《北京，我心中的歌》由曹勇填词，王和声谱曲，蔡国庆和殷秀梅共同演唱，歌曲收录于《牡丹颂——王和声作品集》cd专辑,歌手,北京，我心中的歌,3,殷秀梅,28
《胡适作品精选》是2005年7月1日由长江文艺出版社出版的图书，作者是秦立夏、周罡,作者,胡适作品精选,1,周罡,39
《证券英语》是2003年8月机械工业出版社出版的图书，作者是陈庆柏,作者,证券英语,1,陈庆柏,30
《鲜肉老师》是由优酷和万合天宜联合出品，改编自小说《帅气的我去当老师了》，柯政铭执导、张佳担任总编剧，白客、孔连顺、郑合惠子、鞭鞭于白水等人主演的青春校园励志网络剧1,主演,鲜肉老师,1,鞭鞭于白水,63
《黑猫警长》是上海美术电影制片厂制作的动画电影，由戴铁郎执导，吴磊、林妙可等人参与配音,导演,黑猫警长,1,戴铁郎,25
豆豆米笑话百科网，创建于2013年9月9日,成立日期,豆豆米笑话百科,0,2013年9月9日,12
短须高原鳅，鲤形目鳅科条鳅亚科高原鳅属，由ding命名,目,短须高原鳅,0,鲤形目,6
《妖染》是树下野猫创作的网络小说，发表于17k小说网,连载网站,妖染,1,17k小说网,20
《光明永生诀》是起点中文网连载的小说，作者是古韵流觞,作者,光明永生诀,1,古韵流觞,22
第二部，重返单身，《重返单身》是韩国sbs电视台于2005年6月8日首播的电视剧，由陈石奎执导，张起虹编剧，金芝荷、金成民主演,导演,重返单身,4,陈石奎,42
唐朝吴道子画马，栩栩如生，他这时异想天开，他要画第八匹马，他想：一定是四脚朝天，同时又给人以随时就可以跳起奔跑这个气氛,朝代,唐朝,0,吴道子,2
陈凯歌早年电视剧《吕布与貂蝉》里，黄磊的吕布被设定成一个不通人类文明的无敌勇者,主演,吕布与貂蝉,9,黄磊,17
杨立民，男，1945年4月生，合阳县百良人,出生地,杨立民,0,合阳县百良,15
琼瑶是实战派小三上位酵母：小三无罪爱情万岁于如此伟光正近年来，言情女王琼瑶频频上头条，告完于正抄袭后，本想着安心退休了，丈夫平鑫涛又病重在床，本来这事儿大部分观众也不是很关心，但琼瑶连连在社交网站上公开丈夫的病况，又放话支持安乐死,丈夫,琼瑶,0,平鑫涛,62
《蜜宠—老婆你最大》是乔茉児写的网络小说连载于潇湘书院,连载网站,蜜宠—老婆你最大,1,潇湘书院,23
他们中间有人可以通过短片模仿王家卫导演的《重庆森林》，致敬影片的同时，讲述电影史如何介入影片评价，学院派的专业思路，却不显得无趣,导演,王家卫,14,重庆森林,21
陈国军后来又相继执导了《“宝贝”小偷与大盗》、《慰安妇七十四分队》等影片,导演,陈国军,0,慰安妇七十四分队,24
《穿越之冷漠女宫主》是连载于17k小说网的小说，作者是快乐兮兮,作者,穿越之冷漠女宫主,1,快乐兮兮,27
蒋谷芬，女，汉族，1968年出生，湖南望城人，中共党员，大学本科学历，副主任护师、副教授,出生日期,蒋谷芬,0,1968年,9
碎花织锦芋螺是一种新腹足目、芋螺科类生物,目,碎花织锦芋螺,0,新腹足目,9
”北京十月文艺出版社总编辑韩敬群称红柯为“血亲作家”，红柯的多部著作都是在他们出版社出版的，如《乌尔禾》《生命树》《少女萨吾尔登》等,作者,红柯,17,生命树,53
赵红焱，女，汉族，建平县人，1965年8月生，1986年8月参加工作，1994年2月入党，大学学历，现任朝阳市人民检察院副县级检察员、政治部副主任兼干部科科长，拟任朝阳市人民检察院法警支队政委,出生日期,赵红焱,0,1965年8月,14
电视动画《犬屋敷》改编自日本漫画家奥浩哉的同名漫画，由mappa负责制作，于2017年10月12日起1在富士电视台的noitamina栏目播出，全11话,国籍,日本,12,奥浩哉,17
《上帝创造女人》是 香港歌手刘德华演唱的歌曲 收录于 1999年发行的国语音乐专辑《人间爱》之中,所属专辑,上帝创造女人,1,人间爱,42
《建设机械液压与液力传动》是贺利乐 编机械工业出版社出版的图书，分液压传动，液力传动，液压、液力传动系统分析与设计三篇共十三章内容,出版社,建设机械液压与液力传动,1,机械工业出版社,19
东莞市久源自动化机械有限公司成立于2001年，主要经营，胶粘带相关机械的专业制造，结合台湾二十多年 专业制造技术与开发经验，专著精心开发胶粘带整厂设备与推广，公司生产制造之各类专业设备，符合市场客户需要性,成立日期,东莞市久源自动化机械有限公司,0,2001年,17
公司简介福州时代知上传媒有限公司创建于2005年，前身为福州微笑文化传播有限公司，下设知上传媒、木言企划和知礼公关三大服务机构，并在“中国古典工艺家具之都”——仙游设有分支机构,成立日期,福州时代知上传媒有限公司,4,2005年,19
李受1，字益之，长沙之浏阳人也,出生地,李受,0,长沙之浏阳,8
《烈火》由北京金天地影视文化有限公司制作，导演赵青、于震联袂执导，于震 、沈晓海、朱婷主演,主演,烈火,1,于震,26
听朋友说倒腾废钢能赚钱，张祥青就把家里的小买卖交给爱人张荣华打理，自己开始介入废钢生意,妻子,张祥青,12,张荣华,27
《山水之境》是2015年生活·读书·新知三联书店出版的图书，作者是吴欣、柯律格、包华石和汪悦进,出版社,山水之境,1,生活·读书·新知三联书店,12
《余慈度传》是2012年5月九州出版社出版的图书，作者是吴秀良,出版社,余慈度传,1,九州出版社,14
内容介绍《透过命运的迷雾》由上海教育出版社出版,出版社,透过命运的迷雾,5,上海教育出版社,14
《车神》是中国内地首部赛车题材的青春偶像剧，由游达志执导，陆毅、赵薇、李威、安以轩、乔振宇等主演,国籍,中国,5,陆毅,29
《婚姻法实用读本》是1999年中国法制出版社出版的图书，作者是张海尚,作者,婚姻法实用读本,1,张海尚,31
《1-4岁幼儿养育指南》是 2002年上海译文出版社 出版的图书，作者是克里斯托弗﹒格林,作者,1-4岁幼儿养育指南,1,克里斯托弗﹒格林,36
《男人帮》是由赵宝刚导演的一部都市感情大戏，由孙红雷、黄磊、汪俊担任主演,主演,男人帮,1,黄磊,27
后来吴宇森得到了电影《终极标靶》导演的机会，由当时当红的动作明星尚格云顿主演,导演,吴宇森,2,终极标靶,11
《台湾男子简阿淘》是1996年草根出版社出版的图书，作者是叶石涛,出版社,台湾男子简阿淘,1,草根,15
最帅气版花无缺：谢霆锋饰演《小鱼儿与花无缺》【2005年电视剧版】作为大众男神的谢霆锋有着俊朗不羁的外形，魅力十足,主演,谢霆锋,8,小鱼儿与花无缺,14
舒歌平，男，中国神华煤制油有限公司主任工程师,国籍,舒歌平,0,中国,6
《爱得剩我一个人》是陈龙演唱的一首歌曲，由陈龙填词，唐汉宵谱曲，刘诗诗友情出演,作词,爱得剩我一个人,1,陈龙,10
纪伏荣，男，汉族，1974年9月出生于宁夏银川，在职大学学历，中共党员,民族,纪伏荣,0,汉族,6
庞大汽贸集团股份有限公司是以汽车销售服务为主业的大型汽车营销企业，原隶属于唐山市冀东物贸集团有限责任公司，其前身为2003年成立的唐山市冀东机电设备有限公司，注册资金4.13亿元，法人代表庞庆华,注册资本,庞大汽贸集团股份有限公司,0,4.13亿元,83
军事策略韩桓惠王，韩厘王之子,父亲,韩桓惠王,4,韩厘王,9
仁文村位于贵州省遵义市仁怀市二合镇赤水河西，地域面积5.5平方公里，耕地面积2675亩，辖11个村民组，常住人口3975人,人口数量,仁文村,0,3975人,56
艾莉森·珍妮演员获得第90届奥斯卡最佳女配角（《我，花样女王》）在今年获得奥斯卡的艾莉森·珍妮是美国黄金配角演员，也曾参演过多部大热电视剧集，如《白宫风云》、《极品老妈》、《无耻之徒》、《性爱大师》等，也曾凭借其在电视剧集中的演出获得过艾美奖和金球奖的提名,主演,艾莉森·珍妮,0,极品老妈,80
丘顺卿是泉州府人，为元朝驸马，官武略大将军,出生地,丘顺卿,0,泉州府,4
明朝末年抗清英雄黄得功，本姓王，安徽合肥人后改姓黄,出生地,黄得功,8,安徽合肥,16
[音乐]齐秦 - 无情的雨无情的你,歌手,齐秦,4,无情的雨无情的你,9
《我的主题曲》是由陈少荣作词、作曲，江语晨演唱的歌曲，歌曲收录于2008年11月14日发行的专辑《晴天娃娃》中,作词,我的主题曲,1,陈少荣,9
于玮，毕业于四川音乐学院，魏晨的大学同学，中国四川人,毕业院校,于玮,0,四川音乐学院,6
基本信息远东树莺 manchurian bush warbler雀形目   莺科  树莺属passeriformes   sylviidae   cettia canturians,目,远东树莺,4,雀形目,32
皱叶陪丽蝇是属双翅目、丽蝇科下一个物种,目,皱叶陪丽蝇,0,双翅目,7
《赤心天下》是世源王创作的网络小说，发表于17k小说网,作者,赤心天下,1,世源王,7
《恶女花魁》的导演蜷川实花早前已是知名的摄影师，影片充分贯彻了蜷川实花强烈的个人风格——影像瑰丽、色彩强烈，图像的锐利感相当震撼，营造出极为刺激眼球的鲜锐色快对比,导演,恶女花魁,1,蜷川实花,9
我真的开始懂了 - 储维,歌手,我真的开始懂了,0,储维,10
雪狼（学名：canis lupus laniger），属于食肉目、犬科、犬属的一种哺乳动物，皮毛多为白色，身长近2米，重70公斤，有巨大的头和细而柔美的身体,目,雪狼,0,食肉目,29
肖永国，男，汉族，生于1968年3月22日，中共党员，毕业于贵州师范大学,毕业院校,肖永国,0,贵州师范大学,30
1997年，江安县面积912平方千米，人口50.4万，辖9镇9乡：江安镇、红桥镇、井口镇、怡乐镇、留耕镇、底蓬镇、万里镇、五矿镇、桐梓镇、大妙乡、迎安乡、铁清乡、四面山乡、蟠龙乡、夕佳山乡、滥坝乡、仁和乡、大井镇,面积,江安,6,912平方千米,11
网络小说《西游神魔秘史传》起点中文网写手永远的牛头的第三部小说，讲述了炎狐王，白殇王两只狐妖在西游背景下的故事,主角,西游神魔秘史传,5,炎狐王,35
简介都邦财产保险股份有限公司（简称“都邦保险”）是经中国保险监督  管理委员会批准，于2005年10月19日开业的全国性财产保险公司，注册地为吉林省吉林市，总部位于北京,成立日期,都邦财产保险股份有限公司,2,2005年10月19日,43
《红衣骑士》是2012年8月10日少年儿童出版社出版的一本图书，作者是郑春华,作者,红衣骑士,1,郑春华,35
何炅：对于自己首次独挑大梁充满自信并表示毫无压力，《栀子花开》拍摄首日，他便挑战了需要调控现场200多人的大场面戏份，他时而手中拿着对讲机坐在监视器旁边紧盯拍摄，时而深情并茂地为演员讲戏，充分表现出了作为导演的专业素养、与执着敬业的精神,导演,何炅,0,栀子花开,26
《中国古迹大观（上下）》是东方出版社2006年8月出版的图书，作者是耿向民,出版社,中国古迹大观（上下）,1,东方出版社,13
《大浴女》，作者铁凝，2006年由人民文学出版社出版,作者,大浴女,1,铁凝,8
《给你的年纪》收录于徐誉滕 80后 概念大碟《李雷和韩梅梅》，整张专辑充满校园青春的记忆，这首《给你的年纪》是继专辑中《彩色粉笔》后又一首记录当年的青涩爱情回忆的歌曲,所属专辑,给你的年纪,1,李雷和韩梅梅,23
《儿童看图读古谣》是2005年金盾出版社出版的书籍，作者是崔亮海,出版社,儿童看图读古谣,1,金盾出版社,15
第二位，白敬亭2014年因参演搜狐视频周播剧《匆匆那年》饰演男二号“乔燃“一角而进入娱乐圈,主演,白敬亭,4,匆匆那年,23
而且当时周杰伦的每年一张的专辑都能取得非常可观的销量，每张专辑都能出品各种经典歌曲，就算现在也能创作出《告白气球》这样的经典之作,歌手,周杰伦,4,告白气球,52
陈洪诚1，男，1968年9月生，广西凌云县人,出生日期,陈洪诚,0,1968年9月,7
